signature_id,dataset_id,platform,n_signature_genes,n_mapped_genes,mapped_genes,missing_genes,coverage_fraction,direction_complete,mapping_status,primary_coverage_pass,notes
SIG_ATNF_TREM1_BLOOD,GSE206285_UNIFI,GPL13158,1,1,TREM1,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,GSE171770_FUTURE,GPL20301;GPL21290,1,0,,TREM1,,TRUE,NOT_COMPUTABLE_NO_DIRECT_PLATFORM_CATALOG,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,GSE234736_VDZ_TCELLS,GPL16791,1,0,,TREM1,,TRUE,NOT_COMPUTABLE_CROSSWALK_REQUIRED,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,GSE282580_VDZ,GPL32271,1,0,,TREM1,,TRUE,NOT_COMPUTABLE_NO_DIRECT_PLATFORM_CATALOG,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_TREM1_BLOOD,BIOSTOP_JJAG121,Illumina,1,0,,TREM1,,TRUE,NOT_COMPUTABLE_NO_DIRECT_PLATFORM_CATALOG,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE12251_ACT1_MH,GPL570,7,7,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE23597_ACT1,GPL570,7,7,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE14580_UC,GPL570,7,7,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE16879_UC_CD,GPL570,7,7,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE73661_IFX,GPL6244,7,6,AMPD2;ASB7;IL13RA2;OCRL;PCBP3;WNK2,FAM155A,0.857,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE73661_VDZ,GPL6244,7,6,AMPD2;ASB7;IL13RA2;OCRL;PCBP3;WNK2,FAM155A,0.857,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE92415_PURSUIT,GPL13158,7,7,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE212849_PROGECT,GPL570,7,7,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,E-MTAB-7604_ATNF,Illumina HiSeq 4000,7,7,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,E-MTAB-7845_VDZ,Illumina HiSeq 4000,7,7,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE107865_IFX_BLOOD,GPL23159,7,0,,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,TRUE,NOT_COMPUTABLE_CROSSWALK_REQUIRED,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE42296_IFX_PBMC,GPL6244,7,6,AMPD2;ASB7;IL13RA2;OCRL;PCBP3;WNK2,FAM155A,0.857,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE52746_IFX_POST,GPL17996,7,0,,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,TRUE,NOT_COMPUTABLE_CROSSWALK_REQUIRED,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE100833_CERTIFI,GPL13158,7,7,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE112366_UNITI2_ILEUM,GPL13158,7,7,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE207022_UNITI2_RECTUM,GPL13158,7,7,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE207465_UNITI2_BLOOD,GPL32416,7,0,,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,TRUE,NOT_COMPUTABLE_CROSSWALK_REQUIRED,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE206285_UNIFI,GPL13158,7,7,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,1.000,TRUE,DIRECT_SYMBOL_AUDIT,TRUE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE171770_FUTURE,GPL20301;GPL21290,7,0,,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,TRUE,NOT_COMPUTABLE_NO_DIRECT_PLATFORM_CATALOG,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE234736_VDZ_TCELLS,GPL16791,7,0,,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,TRUE,NOT_COMPUTABLE_CROSSWALK_REQUIRED,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,GSE282580_VDZ,GPL32271,7,0,,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,TRUE,NOT_COMPUTABLE_NO_DIRECT_PLATFORM_CATALOG,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_ATNF_7GENE,BIOSTOP_JJAG121,Illumina,7,0,,AMPD2;ASB7;FAM155A;IL13RA2;OCRL;PCBP3;WNK2,,TRUE,NOT_COMPUTABLE_NO_DIRECT_PLATFORM_CATALOG,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,GSE12251_ACT1_MH,GPL570,6,6,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,1.000,FALSE,DIRECT_SYMBOL_AUDIT,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,GSE23597_ACT1,GPL570,6,6,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,1.000,FALSE,DIRECT_SYMBOL_AUDIT,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,GSE14580_UC,GPL570,6,6,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,1.000,FALSE,DIRECT_SYMBOL_AUDIT,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,GSE16879_UC_CD,GPL570,6,6,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,1.000,FALSE,DIRECT_SYMBOL_AUDIT,FALSE,Coverage only; no expression values or outcomes were analyzed.
SIG_MIN6,GSE73661_IFX,GPL6244,6,6,CHI3L1;CXCL13;G0S2;MMP1;S100A9;SELE,,1.000,FALSE,DIRECT_SYMBOL_AUDIT,FALSE,Coverage only; no expression values or outcomes were analyzed.
