signature_id,task_id,dataset_id,omitted_gene,n_genes_full,n_genes_retained,full_auroc,leave_one_gene_out_auroc,delta_auroc,direction_retained
SIG_UST4_COEF,T_UNIFI_REM_W8,GSE206285_UNIFI,HSD3B1,4,3,0.6839002267573695,0.6726271460965338,-0.011273080660835655,True
SIG_UST4_COEF,T_UNIFI_REM_W8,GSE206285_UNIFI,MUC4,4,3,0.6839002267573695,0.6880466472303207,0.004146420472951218,True
SIG_UST4_COEF,T_UNIFI_REM_W8,GSE206285_UNIFI,CFI,4,3,0.6839002267573695,0.549789439585358,-0.13411078717201153,True
SIG_UST4_COEF,T_UNIFI_REM_W8,GSE206285_UNIFI,CCL11,4,3,0.6839002267573695,0.6832523485584711,-0.0006478781988984439,True
SIG_UST_HUB4,T_EMTAB7604_ER,E-MTAB-7604_ATNF,MUC1,4,3,0.6133333333333333,0.6311111111111112,0.017777777777777892,True
SIG_UST_HUB4,T_EMTAB7604_ER,E-MTAB-7604_ATNF,DUOX2,4,3,0.6133333333333333,0.5866666666666667,-0.026666666666666616,True
SIG_UST_HUB4,T_EMTAB7604_ER,E-MTAB-7604_ATNF,LCN2,4,3,0.6133333333333333,0.5955555555555555,-0.01777777777777778,True
SIG_UST_HUB4,T_EMTAB7604_ER,E-MTAB-7604_ATNF,PDZK1IP1,4,3,0.6133333333333333,0.5977777777777777,-0.015555555555555545,True
SIG_UST_HUB4,T_PROGECT_MH_W6,GSE212849_PROGECT,MUC1,4,3,0.48374905517762656,0.5011337868480726,0.017384731670446074,True
SIG_UST_HUB4,T_PROGECT_MH_W6,GSE212849_PROGECT,DUOX2,4,3,0.48374905517762656,0.48752834467120176,0.0037792894935751997,False
SIG_UST_HUB4,T_PROGECT_MH_W6,GSE212849_PROGECT,LCN2,4,3,0.48374905517762656,0.46712018140589573,-0.016628873771730834,False
SIG_UST_HUB4,T_PROGECT_MH_W6,GSE212849_PROGECT,PDZK1IP1,4,3,0.48374905517762656,0.46258503401360546,-0.021164021164021107,False
SIG_UST_HUB4,T_PURSUIT_CR_W6,GSE92415_PURSUIT,MUC1,4,3,0.5625,0.5578703703703705,-0.004629629629629539,True
SIG_UST_HUB4,T_PURSUIT_CR_W6,GSE92415_PURSUIT,DUOX2,4,3,0.5625,0.5648148148148149,0.0023148148148148806,True
SIG_UST_HUB4,T_PURSUIT_CR_W6,GSE92415_PURSUIT,LCN2,4,3,0.5625,0.5729166666666667,0.01041666666666674,True
SIG_UST_HUB4,T_PURSUIT_CR_W6,GSE92415_PURSUIT,PDZK1IP1,4,3,0.5625,0.5601851851851852,-0.0023148148148147696,True
SIG_UST_HUB4,T_UNIFI_MH_W8,GSE206285_UNIFI,MUC1,4,3,0.4414616840113529,0.4499763481551561,0.008514664143803197,False
SIG_UST_HUB4,T_UNIFI_MH_W8,GSE206285_UNIFI,DUOX2,4,3,0.4414616840113529,0.4338930936613056,-0.007568590350047311,False
SIG_UST_HUB4,T_UNIFI_MH_W8,GSE206285_UNIFI,LCN2,4,3,0.4414616840113529,0.4479659413434248,0.006504257332071939,False
SIG_UST_HUB4,T_UNIFI_MH_W8,GSE206285_UNIFI,PDZK1IP1,4,3,0.4414616840113529,0.44223036896877954,0.0007686849574266574,False
SIG_UST_HUB4,T_UNIFI_REM_W8,GSE206285_UNIFI,MUC1,4,3,0.4897959183673469,0.5017816650469711,0.011985746679624154,True
SIG_UST_HUB4,T_UNIFI_REM_W8,GSE206285_UNIFI,DUOX2,4,3,0.4897959183673469,0.48247489471979266,-0.00732102364755427,False
SIG_UST_HUB4,T_UNIFI_REM_W8,GSE206285_UNIFI,LCN2,4,3,0.4897959183673469,0.49471979267897637,0.004923874311629439,False
SIG_UST_HUB4,T_UNIFI_REM_W8,GSE206285_UNIFI,PDZK1IP1,4,3,0.4897959183673469,0.4855199222546161,-0.004275996112730829,False
SIG_UST_MH2,T_EMTAB7604_ER,E-MTAB-7604_ATNF,LCN2,2,1,0.5844444444444444,0.5544444444444445,-0.029999999999999916,True
SIG_UST_MH2,T_EMTAB7604_ER,E-MTAB-7604_ATNF,KDM5D,2,1,0.5844444444444444,0.611111111111111,0.026666666666666616,True
SIG_UST_MH2,T_PROGECT_MH_W6,GSE212849_PROGECT,LCN2,2,1,0.5064247921390779,0.5479969765684052,0.04157218442932731,True
SIG_UST_MH2,T_PROGECT_MH_W6,GSE212849_PROGECT,KDM5D,2,1,0.5064247921390779,0.4860166288737717,-0.020408163265306145,False
SIG_UST_MH2,T_PURSUIT_CR_W6,GSE92415_PURSUIT,LCN2,2,1,0.6469907407407407,0.6122685185185185,-0.03472222222222221,True
SIG_UST_MH2,T_PURSUIT_CR_W6,GSE92415_PURSUIT,KDM5D,2,1,0.6469907407407407,0.5277777777777778,-0.11921296296296291,True
SIG_UST_MH2,T_UNIFI_MH_W8,GSE206285_UNIFI,LCN2,2,1,0.4852767265846737,0.5751537369914853,0.08987701040681162,True
SIG_UST_MH2,T_UNIFI_MH_W8,GSE206285_UNIFI,KDM5D,2,1,0.4852767265846737,0.43433656575212876,-0.050940160832544934,False
SIG_UST_MH2,T_UNIFI_REM_W8,GSE206285_UNIFI,LCN2,2,1,0.5286686103012633,0.5868480725623583,0.05817946226109494,True
SIG_UST_MH2,T_UNIFI_REM_W8,GSE206285_UNIFI,KDM5D,2,1,0.5286686103012633,0.48730158730158735,-0.041367022999675984,False
SIG_VDZ4,T_EMTAB7604_ER,E-MTAB-7604_ATNF,PIWIL1,4,3,0.4911111111111111,0.41333333333333333,-0.07777777777777778,False
SIG_VDZ4,T_EMTAB7604_ER,E-MTAB-7604_ATNF,MAATS1,4,3,0.4911111111111111,0.4422222222222222,-0.048888888888888926,False
SIG_VDZ4,T_EMTAB7604_ER,E-MTAB-7604_ATNF,RGS13,4,3,0.4911111111111111,0.5577777777777777,0.0666666666666666,True
SIG_VDZ4,T_EMTAB7604_ER,E-MTAB-7604_ATNF,DCHS2,4,3,0.4911111111111111,0.47111111111111115,-0.019999999999999962,False
SIG_VDZ4,T_PROGECT_MH_W6,GSE212849_PROGECT,PIWIL1,4,3,0.40891912320483753,0.44897959183673475,0.04006046863189722,False
