signature_id,task_id,dataset_id,trial_id,evaluation_role,same_therapy,same_endpoint,same_disease,alignment_score,n_subjects,n_genes_used,frozen_auroc,z_recomputed_auroc,mad_auroc,rank_auroc,scaling_auroc_min,scaling_auroc_max,scaling_max_abs_delta,all_scalings_same_direction,frozen_classification,bootstrap_probability_auc_gt_0_5,jackknife_min_auroc,jackknife_max_auroc,jackknife_max_abs_delta,loo_gene_min_auroc,loo_gene_max_auroc,loo_gene_direction_retention_fraction,most_influential_gene,most_influential_gene_delta_auroc,orientation_patterns,published_orientation_percentile,orientation_null_min_auroc,orientation_null_median_auroc,orientation_null_max_auroc
SIG_ATNF_ARJIS5,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,TRIAL_UNITI2,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,False,False,0,86,5,0.596491,0.5964912280701754,0.594298245614035,0.5830592105263157,0.5830592105263157,0.5964912280701754,0.013432017543859698,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.9405,0.5855855855855856,0.6126126126126126,0.016121384542437167,0.5663377192982456,0.6222587719298246,1.0,STC1,-0.030153508771929793,32,85.9375,0.35581140350877194,0.5,0.6441885964912282
SIG_ATNF_OSM1,T_EMTAB7604_ER,E-MTAB-7604_ATNF,COHORT_EMTAB7604,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,True,False,True,2,43,1,0.728889,0.7288888888888889,0.7288888888888889,0.7288888888888889,0.7288888888888889,0.7288888888888889,0.0,True,SUPPORTED_DIRECTION,0.995,0.7129411764705883,0.7576470588235293,0.02875816993464042,,,,,,2,75.0,0.27111111111111114,0.5,0.7288888888888889
SIG_ATNF_OSM1,T_PROGECT_MH_W6,GSE212849_PROGECT,TRIAL_PROGECT,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,True,False,True,2,84,1,0.553288,0.5532879818594104,0.5532879818594104,0.5532879818594104,0.5532879818594104,0.5532879818594104,0.0,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.7575,0.534920634920635,0.5777777777777778,0.02448979591836742,,,,,,2,75.0,0.44671201814058964,0.5,0.5532879818594104
SIG_ATNF_OSM1,T_PURSUIT_CR_W6,GSE92415_PURSUIT,TRIAL_PURSUIT_SC,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,True,False,True,2,59,1,0.662037,0.662037037037037,0.662037037037037,0.662037037037037,0.662037037037037,0.662037037037037,0.0,True,SUPPORTED_DIRECTION,0.9885,0.6490384615384616,0.6821983273596176,0.020161290322580627,,,,,,2,75.0,0.337962962962963,0.5,0.662037037037037
SIG_ATNF_OSM1,T_UNIFI_MH_W8,GSE206285_UNIFI,TRIAL_UNIFI,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,False,True,1,358,1,0.640935,0.6409354304635762,0.6409354304635762,0.6409354304635762,0.6409354304635762,0.6409354304635762,0.0,True,SUPPORTED_DIRECTION,1.0,0.6344671884406984,0.6505418422636965,0.00960641180012034,,,,,,2,75.0,0.35906456953642385,0.5,0.6409354304635762
SIG_ATNF_OSM1,T_UNIFI_REM_W8,GSE206285_UNIFI,TRIAL_UNIFI,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,False,True,1,364,1,0.622902,0.6229024943310657,0.6229024943310657,0.6229024943310657,0.6229024943310657,0.6229024943310657,0.0,True,SUPPORTED_DIRECTION,0.999,0.6151124338624339,0.6336309523809525,0.010728458049886758,,,,,,2,75.0,0.3770975056689343,0.5,0.6229024943310657
SIG_ATNF_OSM1,T_UNITI2_CR_W8,GSE112366_UNITI2_ILEUM,TRIAL_UNITI2,CROSS_THERAPY_TRANSPORT_STRESS_TEST,False,False,True,1,86,1,0.489035,0.4890350877192982,0.4890350877192982,0.4890350877192982,0.4890350877192982,0.4890350877192982,0.0,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.4375,0.4752252252252252,0.5022522522522523,0.01380986249407301,,,,,,2,25.0,0.4890350877192982,0.5,0.5109649122807017
SIG_CROSS_UC4,T_EMTAB7604_ER,E-MTAB-7604_ATNF,COHORT_EMTAB7604,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,True,False,False,1,43,4,0.668889,0.6688888888888889,0.6733333333333333,0.6755555555555555,0.6688888888888889,0.6755555555555555,0.006666666666666599,True,UNCERTAIN_OR_NONTRANSPORTABLE,0.9705,0.6517647058823529,0.7035294117647058,0.03464052287581698,0.6488888888888888,0.6733333333333333,1.0,VNN2,-0.020000000000000018,16,90.625,0.3222222222222222,0.5,0.6777777777777777
SIG_CROSS_UC4,T_PROGECT_MH_W6,GSE212849_PROGECT,TRIAL_PROGECT,SAME_THERAPY_SAME_ENDPOINT_EXTERNAL,True,True,True,3,84,4,0.650038,0.6500377928949358,0.6515495086923657,0.652305366591081,0.6500377928949358,0.652305366591081,0.0022675736961451642,True,SUPPORTED_DIRECTION,0.9895,0.6357142857142857,0.6722222222222223,0.02218442932728648,0.618291761148904,0.6606198034769463,1.0,IGFBP5,-0.031746031746031744,16,78.125,0.3280423280423281,0.5,0.671957671957672
SIG_CROSS_UC4,T_PURSUIT_CR_W6,GSE92415_PURSUIT,TRIAL_PURSUIT_SC,WITHIN_THERAPY_ENDPOINT_OR_DISEASE_TRANSPORT,True,False,True,2,59,4,0.678241,0.6782407407407408,0.6770833333333334,0.6869212962962963,0.6770833333333334,0.6869212962962963,0.00868055555555547,True,SUPPORTED_DIRECTION,0.9925,0.6670673076923077,0.7001194743130228,0.021878733572281983,0.6539351851851851,0.6840277777777778,1.0,SELE,-0.02430555555555569,16,90.625,0.31018518518518523,0.5,0.6898148148148149
